The United States of America, Life tables (period 1x1), Males	Last modified: 16 Feb 2017, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1933           0      0.06859  0.06515  0.23  100000    6515   94978  5916978  59.17
  1933           1      0.01004  0.00999  0.50   93485     934   93018  5822000  62.28
  1933           2      0.00467  0.00466  0.50   92551     431   92336  5728982  61.90
  1933           3      0.00333  0.00333  0.50   92120     307   91967  5636646  61.19
  1933           4      0.00254  0.00253  0.50   91814     233   91697  5544679  60.39
  1933           5      0.00209  0.00209  0.50   91581     191   91485  5452982  59.54
  1933           6      0.00190  0.00190  0.50   91390     173   91303  5361497  58.67
  1933           7      0.00174  0.00174  0.50   91216     159   91137  5270194  57.78
  1933           8      0.00161  0.00161  0.50   91057     147   90984  5179057  56.88
  1933           9      0.00151  0.00151  0.50   90911     137   90842  5088073  55.97
  1933          10      0.00144  0.00143  0.50   90773     130   90708  4997231  55.05
  1933          11      0.00141  0.00141  0.50   90643     128   90579  4906523  54.13
  1933          12      0.00146  0.00146  0.50   90516     132   90450  4815943  53.21
  1933          13      0.00158  0.00158  0.50   90384     143   90312  4725494  52.28
  1933          14      0.00177  0.00177  0.50   90241     160   90161  4635182  51.36
  1933          15      0.00201  0.00201  0.50   90081     181   89990  4545021  50.45
  1933          16      0.00225  0.00225  0.50   89900     202   89798  4455031  49.56
  1933          17      0.00248  0.00248  0.50   89697     222   89586  4365232  48.67
  1933          18      0.00271  0.00270  0.50   89475     242   89354  4275646  47.79
  1933          19      0.00293  0.00293  0.50   89233     261   89102  4186293  46.91
  1933          20      0.00315  0.00315  0.50   88971     280   88832  4097191  46.05
  1933          21      0.00334  0.00334  0.50   88692     296   88544  4008359  45.19
  1933          22      0.00350  0.00349  0.50   88396     309   88241  3919815  44.34
  1933          23      0.00362  0.00361  0.50   88087     318   87928  3831574  43.50
  1933          24      0.00369  0.00369  0.50   87768     324   87607  3743647  42.65
  1933          25      0.00373  0.00373  0.50   87445     326   87282  3656040  41.81
  1933          26      0.00379  0.00378  0.50   87119     329   86954  3568758  40.96
  1933          27      0.00386  0.00385  0.50   86790     334   86623  3481804  40.12
  1933          28      0.00395  0.00394  0.50   86455     341   86285  3395182  39.27
  1933          29      0.00407  0.00406  0.50   86114     349   85940  3308897  38.42
  1933          30      0.00421  0.00420  0.50   85765     360   85585  3222957  37.58
  1933          31      0.00438  0.00438  0.50   85405     374   85218  3137372  36.74
  1933          32      0.00461  0.00460  0.50   85031     391   84836  3052154  35.89
  1933          33      0.00488  0.00487  0.50   84640     412   84434  2967318  35.06
  1933          34      0.00520  0.00519  0.50   84228     437   84010  2882883  34.23
  1933          35      0.00554  0.00552  0.50   83791     463   83560  2798873  33.40
  1933          36      0.00584  0.00582  0.50   83328     485   83086  2715314  32.59
  1933          37      0.00609  0.00607  0.50   82843     503   82592  2632228  31.77
  1933          38      0.00633  0.00631  0.50   82340     519   82081  2549636  30.96
  1933          39      0.00657  0.00655  0.50   81821     536   81553  2467555  30.16
  1933          40      0.00685  0.00683  0.50   81285     555   81007  2386002  29.35
  1933          41      0.00724  0.00722  0.50   80730     583   80439  2304995  28.55
  1933          42      0.00774  0.00771  0.50   80147     618   79838  2224556  27.76
  1933          43      0.00831  0.00828  0.50   79530     658   79200  2144718  26.97
  1933          44      0.00894  0.00890  0.50   78871     702   78520  2065517  26.19
  1933          45      0.00962  0.00958  0.50   78169     749   77795  1986997  25.42
  1933          46      0.01033  0.01028  0.50   77420     796   77023  1909202  24.66
  1933          47      0.01106  0.01100  0.50   76625     843   76204  1832179  23.91
  1933          48      0.01184  0.01177  0.50   75782     892   75336  1755976  23.17
  1933          49      0.01269  0.01261  0.50   74890     944   74418  1680640  22.44
  1933          50      0.01359  0.01350  0.50   73946     998   73447  1606222  21.72
  1933          51      0.01448  0.01438  0.50   72948    1049   72424  1532775  21.01
  1933          52      0.01536  0.01524  0.50   71899    1096   71351  1460351  20.31
  1933          53      0.01621  0.01608  0.50   70803    1139   70234  1389000  19.62
  1933          54      0.01706  0.01692  0.50   69665    1179   69075  1318766  18.93
  1933          55      0.01797  0.01781  0.50   68486    1220   67876  1249691  18.25
  1933          56      0.01914  0.01896  0.50   67266    1276   66628  1181815  17.57
  1933          57      0.02064  0.02043  0.50   65990    1348   65316  1115187  16.90
  1933          58      0.02249  0.02224  0.50   64642    1438   63923  1049871  16.24
  1933          59      0.02472  0.02441  0.50   63204    1543   62433   985948  15.60
  1933          60      0.02723  0.02686  0.50   61661    1656   60833   923515  14.98
  1933          61      0.02964  0.02921  0.50   60005    1753   59129   862682  14.38
  1933          62      0.03186  0.03136  0.50   58252    1827   57339   803553  13.79
  1933          63      0.03390  0.03333  0.50   56426    1881   55485   746215  13.22
  1933          64      0.03579  0.03516  0.50   54545    1918   53586   690729  12.66
  1933          65      0.03769  0.03699  0.50   52627    1947   51654   637144  12.11
  1933          66      0.04020  0.03941  0.50   50680    1997   49682   585490  11.55
  1933          67      0.04355  0.04262  0.50   48683    2075   47646   535809  11.01
  1933          68      0.04783  0.04671  0.50   46608    2177   45519   488163  10.47
  1933          69      0.05317  0.05180  0.50   44431    2301   43280   442644   9.96
  1933          70      0.05941  0.05769  0.50   42129    2431   40914   399363   9.48
  1933          71      0.06548  0.06341  0.50   39699    2517   38440   358449   9.03
  1933          72      0.07101  0.06858  0.50   37182    2550   35907   320009   8.61
  1933          73      0.07603  0.07324  0.50   34632    2536   33364   284102   8.20
  1933          74      0.08023  0.07713  0.50   32095    2476   30858   250739   7.81
  1933          75      0.08340  0.08006  0.50   29620    2371   28434   219881   7.42
  1933          76      0.08972  0.08587  0.50   27248    2340   26078   191447   7.03
  1933          77      0.09729  0.09277  0.50   24909    2311   23753   165369   6.64
  1933          78      0.10620  0.10085  0.50   22598    2279   21458   141616   6.27
  1933          79      0.11639  0.10999  0.50   20319    2235   19201   120157   5.91
  1933          80      0.12746  0.11983  0.50   18084    2167   17000   100956   5.58
  1933          81      0.13947  0.13037  0.50   15917    2075   14879    83955   5.27
  1933          82      0.15187  0.14115  0.50   13842    1954   12865    69076   4.99
  1933          83      0.16464  0.15212  0.50   11888    1808   10984    56211   4.73
  1933          84      0.17768  0.16318  0.50   10080    1645    9257    45227   4.49
  1933          85      0.19078  0.17416  0.50    8435    1469    7700    35970   4.26
  1933          86      0.20481  0.18579  0.50    6966    1294    6319    28269   4.06
  1933          87      0.22005  0.19824  0.50    5672    1124    5110    21951   3.87
  1933          88      0.23591  0.21102  0.50    4547     960    4068    16841   3.70
  1933          89      0.25102  0.22302  0.50    3588     800    3188    12774   3.56
  1933          90      0.26354  0.23285  0.50    2788     649    2463     9586   3.44
  1933          91      0.27215  0.23955  0.50    2139     512    1882     7123   3.33
  1933          92      0.27624  0.24272  0.50    1626     395    1429     5240   3.22
  1933          93      0.27574  0.24233  0.50    1232     298    1082     3812   3.10
  1933          94      0.27551  0.24216  0.50     933     226     820     2729   2.92
  1933          95      0.33441  0.28650  0.50     707     203     606     1909   2.70
  1933          96      0.35224  0.29950  0.50     505     151     429     1303   2.58
  1933          97      0.37050  0.31259  0.50     353     110     298      874   2.47
  1933          98      0.38914  0.32576  0.50     243      79     203      576   2.37
  1933          99      0.40811  0.33894  0.50     164      56     136      373   2.28
  1933         100      0.42735  0.35211  0.50     108      38      89      237   2.19
  1933         101      0.44682  0.36522  0.50      70      26      57      147   2.10
  1933         102      0.46645  0.37823  0.50      45      17      36       90   2.02
  1933         103      0.48618  0.39111  0.50      28      11      22       54   1.95
  1933         104      0.50596  0.40381  0.50      17       7      13       32   1.88
  1933         105      0.52572  0.41629  0.50      10       4       8       18   1.82
  1933         106      0.54540  0.42854  0.50       6       3       5       10   1.76
  1933         107      0.56494  0.44051  0.50       3       1       3        6   1.71
  1933         108      0.58428  0.45218  0.50       2       1       1        3   1.67
  1933         109      0.60336  0.46352  0.50       1       0       1        2   1.63
  1933         110+     0.62213  1.00000  1.61       1       1       1        1   1.61
  1934           0      0.07579  0.07170  0.25  100000    7170   94611  5833686  58.34
  1934           1      0.01127  0.01121  0.50   92830    1041   92309  5739075  61.82
  1934           2      0.00516  0.00514  0.50   91789     472   91553  5646766  61.52
  1934           3      0.00347  0.00347  0.50   91317     317   91159  5555213  60.83
  1934           4      0.00266  0.00266  0.50   91000     242   90879  5464054  60.04
  1934           5      0.00219  0.00219  0.50   90758     199   90659  5373175  59.20
  1934           6      0.00197  0.00197  0.50   90559     178   90470  5282516  58.33
  1934           7      0.00179  0.00179  0.50   90381     162   90300  5192046  57.45
  1934           8      0.00165  0.00165  0.50   90219     149   90145  5101746  56.55
  1934           9      0.00154  0.00154  0.50   90070     139   90001  5011601  55.64
  1934          10      0.00146  0.00146  0.50   89931     132   89865  4921601  54.73
  1934          11      0.00144  0.00144  0.50   89800     129   89735  4831735  53.81
  1934          12      0.00147  0.00147  0.50   89670     132   89604  4742000  52.88
  1934          13      0.00159  0.00158  0.50   89538     142   89467  4652396  51.96
  1934          14      0.00178  0.00178  0.50   89397     159   89317  4562928  51.04
  1934          15      0.00203  0.00203  0.50   89238     181   89147  4473611  50.13
  1934          16      0.00229  0.00228  0.50   89057     203   88955  4384464  49.23
  1934          17      0.00253  0.00253  0.50   88854     225   88741  4295509  48.34
  1934          18      0.00277  0.00277  0.50   88629     245   88506  4206767  47.47
  1934          19      0.00301  0.00301  0.50   88383     266   88250  4118261  46.60
  1934          20      0.00324  0.00323  0.50   88118     285   87975  4030011  45.73
  1934          21      0.00344  0.00343  0.50   87833     301   87682  3942036  44.88
  1934          22      0.00359  0.00359  0.50   87531     314   87374  3854354  44.03
  1934          23      0.00371  0.00370  0.50   87217     323   87056  3766979  43.19
  1934          24      0.00377  0.00377  0.50   86895     327   86731  3679923  42.35
  1934          25      0.00380  0.00380  0.50   86567     329   86403  3593192  41.51
  1934          26      0.00384  0.00384  0.50   86239     331   86073  3506789  40.66
  1934          27      0.00391  0.00390  0.50   85908     335   85740  3420716  39.82
  1934          28      0.00401  0.00400  0.50   85573     342   85402  3334976  38.97
  1934          29      0.00413  0.00412  0.50   85231     351   85055  3249574  38.13
  1934          30      0.00428  0.00427  0.50   84879     363   84698  3164519  37.28
  1934          31      0.00447  0.00446  0.50   84517     377   84328  3079821  36.44
  1934          32      0.00469  0.00468  0.50   84140     394   83943  2995493  35.60
  1934          33      0.00496  0.00494  0.50   83746     414   83538  2911551  34.77
  1934          34      0.00526  0.00525  0.50   83331     437   83113  2828012  33.94
  1934          35      0.00560  0.00559  0.50   82894     463   82662  2744900  33.11
  1934          36      0.00594  0.00592  0.50   82431     488   82187  2662237  32.30
