The United States of America, Life tables (period 1x1), Females	Last modified: 16 Feb 2017, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1933           0      0.05451  0.05224  0.21  100000    5224   95850  6278342  62.78
  1933           1      0.00887  0.00883  0.50   94776     837   94357  6182492  65.23
  1933           2      0.00402  0.00402  0.50   93939     377   93750  6088135  64.81
  1933           3      0.00287  0.00287  0.50   93562     268   93428  5994385  64.07
  1933           4      0.00223  0.00223  0.50   93294     208   93190  5900957  63.25
  1933           5      0.00185  0.00185  0.50   93086     172   93000  5807768  62.39
  1933           6      0.00164  0.00164  0.50   92913     153   92837  5714768  61.51
  1933           7      0.00147  0.00147  0.50   92761     136   92693  5621931  60.61
  1933           8      0.00132  0.00132  0.50   92624     122   92563  5529238  59.70
  1933           9      0.00119  0.00119  0.50   92502     110   92447  5436675  58.77
  1933          10      0.00110  0.00110  0.50   92392     101   92341  5344228  57.84
  1933          11      0.00106  0.00106  0.50   92290      98   92242  5251887  56.91
  1933          12      0.00110  0.00110  0.50   92193     101   92142  5159645  55.97
  1933          13      0.00121  0.00121  0.50   92092     111   92036  5067503  55.03
  1933          14      0.00139  0.00139  0.50   91980     128   91916  4975467  54.09
  1933          15      0.00163  0.00163  0.50   91852     149   91778  4883550  53.17
  1933          16      0.00187  0.00186  0.50   91703     171   91618  4791772  52.25
  1933          17      0.00210  0.00210  0.50   91532     192   91436  4700155  51.35
  1933          18      0.00233  0.00233  0.50   91340     212   91234  4608719  50.46
  1933          19      0.00256  0.00256  0.50   91128     233   91011  4517485  49.57
  1933          20      0.00279  0.00278  0.50   90895     253   90768  4426473  48.70
  1933          21      0.00299  0.00299  0.50   90642     271   90506  4335705  47.83
  1933          22      0.00316  0.00316  0.50   90371     285   90228  4245199  46.98
  1933          23      0.00330  0.00329  0.50   90085     297   89937  4154971  46.12
  1933          24      0.00340  0.00339  0.50   89789     304   89637  4065034  45.27
  1933          25      0.00346  0.00346  0.50   89484     310   89330  3975397  44.43
  1933          26      0.00353  0.00353  0.50   89175     314   89018  3886067  43.58
  1933          27      0.00360  0.00360  0.50   88860     320   88701  3797050  42.73
  1933          28      0.00367  0.00367  0.50   88541     325   88378  3708349  41.88
  1933          29      0.00374  0.00374  0.50   88216     330   88051  3619971  41.04
  1933          30      0.00381  0.00381  0.50   87886     335   87719  3531920  40.19
  1933          31      0.00392  0.00391  0.50   87552     342   87381  3444201  39.34
  1933          32      0.00406  0.00406  0.50   87209     354   87033  3356820  38.49
  1933          33      0.00426  0.00425  0.50   86856     369   86671  3269787  37.65
  1933          34      0.00450  0.00449  0.50   86487     388   86293  3183116  36.80
  1933          35      0.00476  0.00475  0.50   86099     409   85894  3096824  35.97
  1933          36      0.00497  0.00496  0.50   85690     425   85478  3010929  35.14
  1933          37      0.00513  0.00512  0.50   85265     436   85047  2925452  34.31
  1933          38      0.00525  0.00524  0.50   84829     444   84607  2840405  33.48
  1933          39      0.00536  0.00534  0.50   84385     451   84159  2755798  32.66
  1933          40      0.00549  0.00547  0.50   83934     459   83704  2671639  31.83
  1933          41      0.00571  0.00569  0.50   83474     475   83237  2587934  31.00
  1933          42      0.00603  0.00601  0.50   82999     499   82750  2504698  30.18
  1933          43      0.00643  0.00641  0.50   82500     529   82236  2421948  29.36
  1933          44      0.00688  0.00686  0.50   81972     562   81690  2339712  28.54
  1933          45      0.00739  0.00736  0.50   81409     599   81110  2258022  27.74
  1933          46      0.00790  0.00787  0.50   80810     636   80492  2176912  26.94
  1933          47      0.00844  0.00840  0.50   80174     674   79837  2096420  26.15
  1933          48      0.00902  0.00898  0.50   79500     714   79143  2016583  25.37
  1933          49      0.00966  0.00961  0.50   78786     757   78408  1937439  24.59
  1933          50      0.01035  0.01030  0.50   78029     804   77627  1859032  23.82
  1933          51      0.01105  0.01098  0.50   77225     848   76801  1781405  23.07
  1933          52      0.01172  0.01165  0.50   76377     890   75932  1704604  22.32
  1933          53      0.01237  0.01229  0.50   75487     928   75023  1628672  21.58
  1933          54      0.01300  0.01292  0.50   74559     963   74078  1553648  20.84
  1933          55      0.01367  0.01358  0.50   73596     999   73096  1479571  20.10
  1933          56      0.01455  0.01444  0.50   72596    1048   72072  1406475  19.37
  1933          57      0.01568  0.01556  0.50   71548    1113   70991  1334402  18.65
  1933          58      0.01710  0.01695  0.50   70435    1194   69838  1263411  17.94
  1933          59      0.01882  0.01864  0.50   69241    1291   68595  1193573  17.24
  1933          60      0.02078  0.02056  0.50   67950    1397   67251  1124978  16.56
  1933          61      0.02273  0.02247  0.50   66552    1495   65805  1057727  15.89
  1933          62      0.02460  0.02430  0.50   65057    1581   64267   991922  15.25
  1933          63      0.02641  0.02607  0.50   63476    1655   62649   927655  14.61
  1933          64      0.02819  0.02780  0.50   61822    1719   60962   865006  13.99
  1933          65      0.03005  0.02960  0.50   60103    1779   59213   804044  13.38
  1933          66      0.03237  0.03186  0.50   58324    1858   57395   744831  12.77
  1933          67      0.03531  0.03470  0.50   56466    1959   55486   687436  12.17
  1933          68      0.03894  0.03819  0.50   54507    2082   53466   631950  11.59
  1933          69      0.04334  0.04242  0.50   52425    2224   51313   578484  11.03
  1933          70      0.04843  0.04728  0.50   50201    2374   49014   527171  10.50
  1933          71      0.05354  0.05214  0.50   47827    2494   46580   478157  10.00
  1933          72      0.05845  0.05679  0.50   45333    2574   44046   431577   9.52
  1933          73      0.06319  0.06125  0.50   42759    2619   41449   387531   9.06
  1933          74      0.06752  0.06531  0.50   40140    2622   38829   346082   8.62
  1933          75      0.07115  0.06871  0.50   37518    2578   36230   307252   8.19
  1933          76      0.07740  0.07451  0.50   34941    2604   33639   271023   7.76
  1933          77      0.08465  0.08121  0.50   32337    2626   31024   237384   7.34
  1933          78      0.09297  0.08884  0.50   29711    2640   28391   206360   6.95
  1933          79      0.10222  0.09725  0.50   27071    2633   25755   177969   6.57
  1933          80      0.10907  0.10343  0.50   24439    2528   23175   152214   6.23
  1933          81      0.11917  0.11247  0.50   21911    2464   20679   129039   5.89
  1933          82      0.12952  0.12164  0.50   19447    2366   18264   108361   5.57
  1933          83      0.14017  0.13099  0.50   17081    2237   15962    90097   5.27
  1933          84      0.15125  0.14062  0.50   14844    2087   13800    74134   4.99
  1933          85      0.16275  0.15050  0.50   12756    1920   11796    60334   4.73
  1933          86      0.17554  0.16138  0.50   10837    1749    9962    48538   4.48
  1933          87      0.19000  0.17351  0.50    9088    1577    8299    38576   4.24
  1933          88      0.20543  0.18630  0.50    7511    1399    6811    30276   4.03
  1933          89      0.22102  0.19902  0.50    6112    1216    5503    23465   3.84
  1933          90      0.23599  0.21109  0.50    4895    1033    4379    17962   3.67
  1933          91      0.24931  0.22167  0.50    3862     856    3434    13583   3.52
  1933          92      0.26095  0.23083  0.50    3006     694    2659    10149   3.38
  1933          93      0.27114  0.23877  0.50    2312     552    2036     7490   3.24
  1933          94      0.27893  0.24479  0.50    1760     431    1545     5454   3.10
  1933          95      0.30115  0.26174  0.50    1329     348    1155     3909   2.94
  1933          96      0.31851  0.27476  0.50     981     270     846     2754   2.81
  1933          97      0.33639  0.28796  0.50     712     205     609     1908   2.68
  1933          98      0.35475  0.30131  0.50     507     153     430     1299   2.56
  1933          99      0.37355  0.31476  0.50     354     111     298      868   2.45
  1933         100      0.39274  0.32827  0.50     243      80     203      570   2.35
  1933         101      0.41226  0.34181  0.50     163      56     135      367   2.25
  1933         102      0.43207  0.35531  0.50     107      38      88      232   2.16
  1933         103      0.45209  0.36874  0.50      69      25      56      144   2.08
  1933         104      0.47227  0.38205  0.50      44      17      35       87   2.00
  1933         105      0.49254  0.39521  0.50      27      11      22       52   1.93
  1933         106      0.51284  0.40817  0.50      16       7      13       30   1.86
  1933         107      0.53309  0.42090  0.50      10       4       8       17   1.81
  1933         108      0.55324  0.43336  0.50       6       2       4       10   1.75
  1933         109      0.57321  0.44552  0.50       3       1       2        5   1.71
  1933         110+     0.59295  1.00000  1.69       2       2       3        3   1.69
  1934           0      0.05966  0.05701  0.22  100000    5701   95553  6234297  62.34
  1934           1      0.00995  0.00990  0.50   94299     934   93832  6138744  65.10
  1934           2      0.00454  0.00453  0.50   93365     423   93153  6044912  64.75
  1934           3      0.00298  0.00297  0.50   92942     276   92804  5951759  64.04
  1934           4      0.00224  0.00223  0.50   92666     207   92562  5858955  63.23
  1934           5      0.00186  0.00186  0.50   92459     172   92373  5766393  62.37
  1934           6      0.00167  0.00167  0.50   92287     154   92210  5674020  61.48
  1934           7      0.00150  0.00149  0.50   92133     138   92064  5581810  60.58
  1934           8      0.00135  0.00135  0.50   91996     124   91933  5489746  59.67
  1934           9      0.00123  0.00123  0.50   91871     113   91814  5397812  58.75
  1934          10      0.00115  0.00115  0.50   91758     105   91705  5305998  57.83
  1934          11      0.00111  0.00111  0.50   91653     102   91602  5214293  56.89
  1934          12      0.00114  0.00114  0.50   91551     104   91499  5122691  55.95
  1934          13      0.00123  0.00123  0.50   91447     113   91390  5031192  55.02
  1934          14      0.00140  0.00140  0.50   91334     128   91270  4939802  54.08
  1934          15      0.00162  0.00162  0.50   91206     148   91132  4848532  53.16
  1934          16      0.00185  0.00185  0.50   91059     168   90975  4757399  52.25
  1934          17      0.00208  0.00207  0.50   90890     188   90796  4666425  51.34
  1934          18      0.00230  0.00229  0.50   90702     208   90598  4575629  50.45
  1934          19      0.00252  0.00251  0.50   90494     228   90380  4485031  49.56
  1934          20      0.00274  0.00273  0.50   90266     247   90143  4394651  48.69
  1934          21      0.00293  0.00293  0.50   90020     264   89888  4304508  47.82
  1934          22      0.00310  0.00310  0.50   89756     278   89617  4214620  46.96
  1934          23      0.00324  0.00324  0.50   89478     290   89333  4125003  46.10
  1934          24      0.00335  0.00334  0.50   89188     298   89039  4035670  45.25
  1934          25      0.00343  0.00342  0.50   88890     304   88738  3946630  44.40
  1934          26      0.00350  0.00349  0.50   88586     310   88431  3857892  43.55
  1934          27      0.00357  0.00356  0.50   88276     315   88119  3769461  42.70
  1934          28      0.00364  0.00363  0.50   87962     320   87802  3681342  41.85
  1934          29      0.00370  0.00369  0.50   87642     324   87480  3593540  41.00
  1934          30      0.00376  0.00376  0.50   87318     328   87154  3506060  40.15
  1934          31      0.00385  0.00385  0.50   86990     334   86823  3418906  39.30
  1934          32      0.00398  0.00397  0.50   86656     344   86484  3332082  38.45
  1934          33      0.00415  0.00414  0.50   86312     358   86133  3245599  37.60
  1934          34      0.00437  0.00436  0.50   85954     375   85767  3159466  36.76
  1934          35      0.00462  0.00461  0.50   85580     395   85382  3073699  35.92
  1934          36      0.00486  0.00485  0.50   85185     413   84978  2988317  35.08
  1934          37      0.00507  0.00505  0.50   84772     428   84558  2903338  34.25
  1934          38      0.00523  0.00522  0.50   84343     440   84123  2818781  33.42
  1934          39      0.00538  0.00536  0.50   83903     450   83678  2734657  32.59
  1934          40      0.00553  0.00551  0.50   83453     460   83223  2650979  31.77
  1934          41      0.00573  0.00571  0.50   82993     474   82756  2567756  30.94
  1934          42      0.00601  0.00599  0.50   82519     494   82272  2484999  30.11
  1934          43      0.00638  0.00636  0.50   82025     521   81764  2402727  29.29
  1934          44      0.00680  0.00678  0.50   81504     553   81227  2320963  28.48
  1934          45      0.00728  0.00725  0.50   80951     587   80657  2239736  27.67
  1934          46      0.00781  0.00778  0.50   80364     625   80051  2159078  26.87
  1934          47      0.00839  0.00835  0.50   79739     666   79406  2079027  26.07
  1934          48      0.00902  0.00898  0.50   79073     710   78718  1999621  25.29
  1934          49      0.00974  0.00969  0.50   78363     759   77983  1920904  24.51
  1934          50      0.01053  0.01048  0.50   77603     813   77197  1842921  23.75
  1934          51      0.01131  0.01125  0.50   76790     864   76358  1765724  22.99
  1934          52      0.01203  0.01196  0.50   75927     908   75473  1689366  22.25
  1934          53      0.01268  0.01260  0.50   75018     945   74546  1613893  21.51
  1934          54      0.01326  0.01317  0.50   74073     976   73585  1539347  20.78
  1934          55      0.01381  0.01371  0.50   73097    1002   72596  1465762  20.05
  1934          56      0.01455  0.01445  0.50   72095    1042   71574  1393166  19.32
  1934          57      0.01559  0.01547  0.50   71053    1099   70504  1321592  18.60
  1934          58      0.01694  0.01680  0.50   69954    1175   69367  1251088  17.88
  1934          59      0.01865  0.01848  0.50   68779    1271   68144  1181722  17.18
  1934          60      0.02067  0.02046  0.50   67508    1381   66818  1113578  16.50
  1934          61      0.02272  0.02246  0.50   66127    1485   65384  1046761  15.83
  1934          62      0.02470  0.02440  0.50   64642    1577   63853   981376  15.18
  1934          63      0.02663  0.02628  0.50   63064    1657   62236   917523  14.55
  1934          64      0.02850  0.02810  0.50   61407    1726   60544   855288  13.93
  1934          65      0.03040  0.02994  0.50   59681    1787   58788   794744  13.32
  1934          66      0.03266  0.03214  0.50   57894    1861   56964   735956  12.71
  1934          67      0.03550  0.03488  0.50   56034    1955   55057   678992  12.12
  1934          68      0.03900  0.03826  0.50   54079    2069   53045   623935  11.54
  1934          69      0.04326  0.04234  0.50   52010    2202   50909   570890  10.98
  1934          70      0.04827  0.04713  0.50   49808    2347   48635   519981  10.44
  1934          71      0.05353  0.05213  0.50   47461    2474   46224   471346   9.93
  1934          72      0.05874  0.05706  0.50   44987    2567   43703   425123   9.45
  1934          73      0.06381  0.06184  0.50   42420    2623   41108   381420   8.99
  1934          74      0.06882  0.06653  0.50   39796    2647   38473   340312   8.55
  1934          75      0.07164  0.06916  0.50   37149    2569   35864   301839   8.13
  1934          76      0.07804  0.07511  0.50   34580    2597   33281   265975   7.69
  1934          77      0.08536  0.08187  0.50   31982    2618   30673   232694   7.28
  1934          78      0.09379  0.08959  0.50   29364    2631   28049   202021   6.88
  1934          79      0.10338  0.09830  0.50   26733    2628   25419   173972   6.51
  1934          80      0.11039  0.10461  0.50   24106    2522   22845   148553   6.16
  1934          81      0.12122  0.11429  0.50   21584    2467   20350   125708   5.82
  1934          82      0.13229  0.12408  0.50   19117    2372   17931   105358   5.51
  1934          83      0.14323  0.13366  0.50   16745    2238   15626    87427   5.22
  1934          84      0.15380  0.14282  0.50   14507    2072   13471    71801   4.95
  1934          85      0.16431  0.15183  0.50   12435    1888   11491    58330   4.69
  1934          86      0.17601  0.16177  0.50   10547    1706    9694    46839   4.44
  1934          87      0.18962  0.17320  0.50    8841    1531    8075    37145   4.20
  1934          88      0.20518  0.18609  0.50    7310    1360    6629    29070   3.98
  1934          89      0.22180  0.19966  0.50    5949    1188    5355    22440   3.77
  1934          90      0.23889  0.21340  0.50    4761    1016    4253    17085   3.59
  1934          91      0.25555  0.22660  0.50    3745     849    3321    12832   3.43
  1934          92      0.27016  0.23801  0.50    2897     689    2552     9511   3.28
  1934          93      0.28158  0.24683  0.50    2207     545    1935     6959   3.15
  1934          94      0.28989  0.25319  0.50    1662     421    1452     5024   3.02
  1934          95      0.30856  0.26732  0.50    1242     332    1076     3572   2.88
  1934          96      0.32650  0.28068  0.50     910     255     782     2496   2.74
  1934          97      0.34497  0.29422  0.50     654     193     558     1714   2.62
  1934          98      0.36391  0.30789  0.50     462     142     391     1156   2.50
  1934          99      0.38328  0.32164  0.50     320     103     268      766   2.40
  1934         100      0.40304  0.33544  0.50     217      73     180      497   2.29
  1934         101      0.42311  0.34923  0.50     144      50     119      317   2.20
  1934         102      0.44344  0.36296  0.50      94      34      77      198   2.11
  1934         103      0.46395  0.37659  0.50      60      22      48      121   2.03
  1934         104      0.48460  0.39008  0.50      37      15      30       73   1.95
  1934         105      0.50529  0.40338  0.50      23       9      18       43   1.88
  1934         106      0.52597  0.41645  0.50      14       6      11       25   1.82
  1934         107      0.54656  0.42925  0.50       8       3       6       14   1.76
  1934         108      0.56699  0.44175  0.50       5       2       4        8   1.71
  1934         109      0.58719  0.45392  0.50       3       1       2        4   1.67
  1934         110+     0.60711  1.00000  1.65       1       1       2        2   1.65
  1935           0      0.05395  0.05173  0.20  100000    5173   95883  6304023  63.04
  1935           1      0.00826  0.00822  0.50   94827     780   94437  6208141  65.47
  1935           2      0.00379  0.00378  0.50   94047     356   93869  6113704  65.01
  1935           3      0.00276  0.00275  0.50   93691     258   93562  6019834  64.25
  1935           4      0.00233  0.00232  0.50   93434     217   93325  5926272  63.43
  1935           5      0.00193  0.00193  0.50   93216     180   93127  5832947  62.57
  1935           6      0.00168  0.00168  0.50   93037     156   92959  5739820  61.69
  1935           7      0.00146  0.00146  0.50   92881     136   92813  5646862  60.80
  1935           8      0.00130  0.00129  0.50   92745     120   92685  5554049  59.89
  1935           9      0.00118  0.00118  0.50   92625     110   92570  5461364  58.96
  1935          10      0.00112  0.00112  0.50   92515     103   92464  5368794  58.03
  1935          11      0.00110  0.00110  0.50   92412     102   92361  5276330  57.10
  1935          12      0.00114  0.00114  0.50   92310     106   92257  5183969  56.16
  1935          13      0.00124  0.00124  0.50   92205     114   92148  5091711  55.22
  1935          14      0.00140  0.00140  0.50   92091     128   92026  4999564  54.29
  1935          15      0.00161  0.00161  0.50   91962     148   91888  4907537  53.36
  1935          16      0.00184  0.00184  0.50   91814     169   91730  4815649  52.45
  1935          17      0.00206  0.00206  0.50   91645     189   91551  4723920  51.55
  1935          18      0.00227  0.00227  0.50   91457     208   91353  4632369  50.65
  1935          19      0.00247  0.00247  0.50   91249     226   91136  4541016  49.77
  1935          20      0.00267  0.00267  0.50   91024     243   90902  4449879  48.89
  1935          21      0.00285  0.00284  0.50   90781     258   90652  4358977  48.02
  1935          22      0.00300  0.00300  0.50   90523     271   90387  4268325  47.15
  1935          23      0.00314  0.00314  0.50   90252     283   90110  4177937  46.29
  1935          24      0.00327  0.00326  0.50   89968     293   89822  4087827  45.44
  1935          25      0.00337  0.00337  0.50   89675     302   89524  3998005  44.58
  1935          26      0.00346  0.00346  0.50   89373     309   89219  3908481  43.73
  1935          27      0.00354  0.00353  0.50   89064     315   88907  3819263  42.88
  1935          28      0.00360  0.00359  0.50   88750     319   88590  3730355  42.03
  1935          29      0.00365  0.00364  0.50   88431     322   88270  3641765  41.18
  1935          30      0.00369  0.00368  0.50   88109     324   87947  3553495  40.33
  1935          31      0.00376  0.00376  0.50   87785     330   87620  3465549  39.48
  1935          32      0.00389  0.00388  0.50   87455     339   87285  3377929  38.62
  1935          33      0.00407  0.00406  0.50   87115     353   86939  3290644  37.77
  1935          34      0.00430  0.00429  0.50   86762     372   86576  3203705  36.93
  1935          35      0.00458  0.00457  0.50   86390     395   86192  3117129  36.08
  1935          36      0.00486  0.00485  0.50   85995     417   85786  3030937  35.25
  1935          37      0.00511  0.00509  0.50   85578     436   85360  2945150  34.41
  1935          38      0.00530  0.00528  0.50   85142     450   84917  2859791  33.59
  1935          39      0.00543  0.00542  0.50   84692     459   84463  2774874  32.76
  1935          40      0.00554  0.00553  0.50   84234     465   84001  2690411  31.94
  1935          41      0.00568  0.00567  0.50   83768     475   83531  2606410  31.11
  1935          42      0.00590  0.00588  0.50   83293     490   83048  2522879  30.29
  1935          43      0.00623  0.00621  0.50   82803     514   82546  2439831  29.47
  1935          44      0.00666  0.00664  0.50   82289     546   82016  2357284  28.65
  1935          45      0.00717  0.00715  0.50   81743     584   81451  2275268  27.83
  1935          46      0.00774  0.00771  0.50   81159     626   80846  2193817  27.03
  1935          47      0.00833  0.00830  0.50   80533     668   80199  2112971  26.24
  1935          48      0.00895  0.00891  0.50   79865     711   79510  2032771  25.45
  1935          49      0.00959  0.00954  0.50   79154     755   78776  1953262  24.68
  1935          50      0.01027  0.01022  0.50   78399     801   77998  1874486  23.91
  1935          51      0.01098  0.01092  0.50   77598     847   77174  1796487  23.15
  1935          52      0.01170  0.01163  0.50   76751     893   76304  1719313  22.40
  1935          53      0.01241  0.01233  0.50   75858     936   75390  1643009  21.66
  1935          54      0.01310  0.01302  0.50   74922     975   74435  1567619  20.92
  1935          55      0.01381  0.01371  0.50   73947    1014   73440  1493184  20.19
  1935          56      0.01462  0.01451  0.50   72933    1059   72404  1419744  19.47
  1935          57      0.01560  0.01547  0.50   71874    1112   71318  1347341  18.75
  1935          58      0.01677  0.01663  0.50   70762    1177   70174  1276022  18.03
  1935          59      0.01817  0.01801  0.50   69585    1253   68959  1205849  17.33
  1935          60      0.01979  0.01960  0.50   68332    1339   67663  1136890  16.64
  1935          61      0.02158  0.02135  0.50   66993    1430   66278  1069227  15.96
  1935          62      0.02352  0.02325  0.50   65563    1524   64801  1002949  15.30
  1935          63      0.02563  0.02531  0.50   64038    1621   63228   938149  14.65
  1935          64      0.02796  0.02758  0.50   62418    1721   61557   874921  14.02
  1935          65      0.03053  0.03007  0.50   60697    1825   59784   813364  13.40
  1935          66      0.03325  0.03271  0.50   58872    1926   57909   753580  12.80
  1935          67      0.03620  0.03555  0.50   56946    2025   55934   695671  12.22
  1935          68      0.03943  0.03867  0.50   54921    2124   53859   639737  11.65
  1935          69      0.04299  0.04208  0.50   52798    2222   51687   585878  11.10
  1935          70      0.04692  0.04584  0.50   50576    2319   49416   534191  10.56
  1935          71      0.05137  0.05008  0.50   48257    2417   47049   484775  10.05
  1935          72      0.05633  0.05479  0.50   45840    2511   44585   437726   9.55
  1935          73      0.06170  0.05985  0.50   43329    2593   42032   393142   9.07
  1935          74      0.06752  0.06532  0.50   40736    2661   39405   351109   8.62
  1935          75      0.07112  0.06868  0.50   38075    2615   36768   311704   8.19
  1935          76      0.07816  0.07522  0.50   35460    2667   34126   274937   7.75
  1935          77      0.08577  0.08225  0.50   32793    2697   31444   240810   7.34
  1935          78      0.09383  0.08962  0.50   30096    2697   28747   209366   6.96
  1935          79      0.10227  0.09730  0.50   27398    2666   26065   180619   6.59
  1935          80      0.10708  0.10164  0.50   24733    2514   23476   154554   6.25
  1935          81      0.11653  0.11011  0.50   22219    2447   20996   131078   5.90
  1935          82      0.12686  0.11929  0.50   19772    2359   18593   110082   5.57
  1935          83      0.13792  0.12902  0.50   17414    2247   16290    91489   5.25
  1935          84      0.14957  0.13917  0.50   15167    2111   14111    75199   4.96
  1935          85      0.16214  0.14998  0.50   13056    1958   12077    61088   4.68
  1935          86      0.17612  0.16187  0.50   11098    1796   10200    49011   4.42
  1935          87      0.19176  0.17499  0.50    9302    1628    8488    38811   4.17
  1935          88      0.20884  0.18909  0.50    7674    1451    6948    30323   3.95
  1935          89      0.22617  0.20319  0.50    6223    1264    5591    23375   3.76
  1935          90      0.24151  0.21548  0.50    4958    1068    4424    17784   3.59
  1935          91      0.25512  0.22626  0.50    3890     880    3450    13360   3.43
  1935          92      0.26719  0.23570  0.50    3010     709    2655     9910   3.29
  1935          93      0.27561  0.24223  0.50    2300     557    2022     7255   3.15
  1935          94      0.28084  0.24626  0.50    1743     429    1529     5233   3.00
  1935          95      0.31420  0.27154  0.50    1314     357    1136     3705   2.82
  1935          96      0.33335  0.28572  0.50     957     273     820     2569   2.68
  1935          97      0.35306  0.30008  0.50     684     205     581     1749   2.56
  1935          98      0.37328  0.31457  0.50     479     151     403     1168   2.44
  1935          99      0.39395  0.32912  0.50     328     108     274      764   2.33
  1935         100      0.41502  0.34370  0.50     220      76     182      490   2.23
  1935         101      0.43640  0.35823  0.50     144      52     119      308   2.13
  1935         102      0.45801  0.37267  0.50      93      35      75      190   2.05
  1935         103      0.47979  0.38696  0.50      58      22      47      114   1.97
  1935         104      0.50164  0.40105  0.50      36      14      28       67   1.89
  1935         105      0.52349  0.41489  0.50      21       9      17       39   1.82
  1935         106      0.54525  0.42844  0.50      12       5      10       22   1.76
  1935         107      0.56683  0.44166  0.50       7       3       6       12   1.70
  1935         108      0.58817  0.45451  0.50       4       2       3        7   1.65
  1935         109      0.60918  0.46695  0.50       2       1       2        4   1.61
  1935         110+     0.62979  1.00000  1.59       1       1       2        2   1.59
  1936           0      0.05517  0.05286  0.21  100000    5286   95811  6260092  62.60
  1936           1      0.00814  0.00811  0.50   94714     768   94330  6164281  65.08
  1936           2      0.00389  0.00388  0.50   93946     364   93764  6069951  64.61
  1936           3      0.00269  0.00269  0.50   93582     252   93456  5976187  63.86
  1936           4      0.00215  0.00215  0.50   93330     201   93230  5882730  63.03
  1936           5      0.00176  0.00176  0.50   93130     164   93048  5789500  62.17
  1936           6      0.00153  0.00153  0.50   92966     143   92895  5696453  61.27
  1936           7      0.00136  0.00136  0.50   92824     126   92760  5603558  60.37
  1936           8      0.00122  0.00122  0.50   92697     113   92641  5510797  59.45
  1936           9      0.00112  0.00112  0.50   92584     104   92533  5418156  58.52
  1936          10      0.00107  0.00107  0.50   92481      99   92431  5325624  57.59
  1936          11      0.00107  0.00107  0.50   92382      99   92332  5233192  56.65
  1936          12      0.00113  0.00113  0.50   92283     104   92231  5140860  55.71
  1936          13      0.00124  0.00124  0.50   92179     114   92122  5048629  54.77
  1936          14      0.00141  0.00141  0.50   92065     130   92000  4956507  53.84
  1936          15      0.00164  0.00164  0.50   91935     150   91860  4864507  52.91
  1936          16      0.00188  0.00188  0.50   91785     172   91699  4772647  52.00
  1936          17      0.00211  0.00211  0.50   91612     193   91516  4680949  51.10
  1936          18      0.00234  0.00233  0.50   91419     213   91312  4589433  50.20
  1936          19      0.00254  0.00254  0.50   91206     231   91090  4498121  49.32
  1936          20      0.00272  0.00272  0.50   90974     247   90851  4407031  48.44
  1936          21      0.00289  0.00288  0.50   90727     261   90596  4316180  47.57
  1936          22      0.00304  0.00303  0.50   90466     274   90329  4225583  46.71
  1936          23      0.00318  0.00317  0.50   90191     286   90048  4135255  45.85
  1936          24      0.00331  0.00331  0.50   89905     297   89757  4045207  44.99
  1936          25      0.00344  0.00343  0.50   89608     307   89454  3955450  44.14
  1936          26      0.00354  0.00353  0.50   89301     316   89143  3865995  43.29
  1936          27      0.00362  0.00362  0.50   88985     322   88824  3776852  42.44
  1936          28      0.00368  0.00367  0.50   88663     326   88501  3688028  41.60
  1936          29      0.00371  0.00370  0.50   88338     327   88174  3599527  40.75
  1936          30      0.00372  0.00371  0.50   88011     327   87848  3511353  39.90
  1936          31      0.00377  0.00377  0.50   87684     330   87519  3423505  39.04
  1936          32      0.00389  0.00388  0.50   87354     339   87185  3335986  38.19
  1936          33      0.00407  0.00406  0.50   87015     353   86838  3248801  37.34
  1936          34      0.00432  0.00431  0.50   86662     374   86475  3161963  36.49
  1936          35      0.00463  0.00462  0.50   86288     399   86089  3075488  35.64
  1936          36      0.00494  0.00493  0.50   85890     423   85678  2989399  34.81
  1936          37      0.00523  0.00522  0.50   85466     446   85243  2903721  33.98
  1936          38      0.00548  0.00546  0.50   85020     464   84788  2818478  33.15
  1936          39      0.00566  0.00564  0.50   84556     477   84318  2733690  32.33
  1936          40      0.00579  0.00578  0.50   84079     486   83836  2649372  31.51
  1936          41      0.00594  0.00592  0.50   83593     495   83346  2565536  30.69
  1936          42      0.00613  0.00611  0.50   83098     508   82844  2482190  29.87
  1936          43      0.00639  0.00637  0.50   82591     526   82328  2399346  29.05
  1936          44      0.00675  0.00673  0.50   82065     552   81788  2317018  28.23
  1936          45      0.00722  0.00720  0.50   81512     587   81219  2235230  27.42
  1936          46      0.00776  0.00773  0.50   80926     626   80613  2154011  26.62
